"spaces","nospace"
"brea5t","brea5t"
"breast","breast"
"brothel","brothel"
"bugger","bugger"
"buggery","buggery"
"bumfuck","bumfuck"
"bunga","bunga"
"buried","buried"
"burn","burn"
"buttman","buttman"
"byatch","byatch"
"cacker","cacker"
"cancer","cancer"
"carruth","carruth"
"chav","chav"
"chin","chin"
"chinese","chinese"
"chink","chink"
"chinky","chinky"
"choad","choad"
"chode","chode"
"christ","christ"
"church","church"
"cigs","cigs"
"clogwog","clogwog"
"cocaine","cocaine"
"cocknob","cocknob"
"cocky","cocky"
"cohee","cohee"
"coitus","coitus"
"color","color"
"colored","colored"
"commie","commie"
"condom","condom"
"coolie","coolie"
"cooly","cooly"
"coondog","coondog"
"cra5h","cra5h"
"crabs","crabs"
"crack","crack"
"crap","crap"
"crapola","crapola"
"crapper","crapper"
"crappy","crappy"
"crash","crash"
"creamy","creamy"
"crime","crime"
"crimes","crimes"
"crotch","crotch"
"cumfest","cumfest"
"cumm","cumm"
"cummer","cummer"
"cumquat","cumquat"
"cunn","cunn"
"cunntt","cunntt"
"dago","dago"
"dahmer","dahmer"
"dammit","dammit"
"damn","damn"
"damnit","damnit"
"darky","darky"
"dead","dead"
"death","death"
"dego","dego"
"demon","demon"
"deposit","deposit"
"desire","desire"
"destroy","destroy"
"deth","deth"
"devil","devil"
"dickman","dickman"
"dickwad","dickwad"
"diddle","diddle"
"die","die"
"died","died"
"dies","dies"
"dike","dike"
"dink","dink"
"dipshit","dipshit"
"dirty","dirty"
"disease","disease"
"dive","dive"
"dix","dix"
"dong","dong"
"doodoo","doodoo"
"doo-doo","doo-doo"
"doom","doom"
"dope","dope"
"drug","drug"
"drunk","drunk"
"drunken","drunken"
"dumb","dumb"
"dumbass","dumbass"
"dyefly","dyefly"
"dyke","dyke"
"eatme","eatme"
"ecstacy","ecstacy"
"enema","enema"
"enemy","enemy"
"erect","erect"
"ero","ero"
"ethnic","ethnic"
"evl","evl"
"execute","execute"
"faeces","faeces"
"fagging","fagging"
"fagot","fagot"
"failed","failed"
"failure","failure"
"fairies","fairies"
"fairy","fairy"
"faith","faith"
"fart","fart"
"farted","farted"
"farting","farting"
"farty","farty"
"fat","fat"
"fatah","fatah"
"fatass","fatass"
"fatfuck","fatfuck"
"fatso","fatso"
"fckcum","fckcum"
"fear","fear"
"feces","feces"
"felatio","felatio"
"felcher","felcher"
"fetish","fetish"
"fight","fight"
"fire","fire"
"firing","firing"
"fister","fister"
"flange","flange"
"flasher","flasher"
"floo","floo"
"flydie","flydie"
"flydye","flydye"
"fok","fok"
"fondle","fondle"
"fore","fore"
"forni","forni"
"fraud","fraud"
"fu","fu"
"fubar","fubar"
"fuc","fuc"
"fucck","fucck"
"fucka","fucka"
"fuckbag","fuckbag"
"fucked","fucked"
"fucker","fucker"
"fuckers","fuckers"
"fuckher","fuckher"
"fuckina","fuckina"
"fuckit","fuckit"
"fuckme","fuckme"
"fuckoff","fuckoff"
"fuckpig","fuckpig"
"fucks","fucks"
"fuckyou","fuckyou"
"fugly","fugly"
"fuk","fuk"
"fuks","fuks"
"funeral","funeral"
"funfuck","funfuck"
"fungus","fungus"
"fuuck","fuuck"
"gangsta","gangsta"
"gay","gay"
"gaysex","gaysex"
"geez","geez"
"geezer","geezer"
"geni","geni"
"genital","genital"
"german","german"
"getiton","getiton"
"gin","gin"
"ginzo","ginzo"
"gipp","gipp"
"girls","girls"
"gob","gob"
"god","god"
"goddamn","goddamn"
"gook","gook"
"goy","goy"
"goyim","goyim"
"gringo","gringo"
"groe","groe"
"gross","gross"
"gubba","gubba"
"gummer","gummer"
"gun","gun"
"gyp","gyp"
"gypo","gypo"
"gypp","gypp"
"gyppie","gyppie"
"gyppo","gyppo"
"gyppy","gyppy"
"hamas","hamas"
"hapa","hapa"
"harder","harder"
"hardon","hardon"
"harem","harem"
"hebe","hebe"
"heeb","heeb"
"hell","hell"
"heroin","heroin"
"herpes","herpes"
"hijack","hijack"
"hindoo","hindoo"
"hiscock","hiscock"
"hitler","hitler"
"hiv","hiv"
"ho","ho"
"hobo","hobo"
"hodgie","hodgie"
"hoes","hoes"
"hole","hole"
"homo","homo"
"honger","honger"
"honk","honk"
"honkers","honkers"
"honky","honky"
"hook","hook"
"hookers","hookers"
"hooters","hooters"
"hore","hore"
"hork","hork"
"horn","horn"
"horney","horney"
"hosejob","hosejob"
"hoser","hoser"
"hostage","hostage"
"hotdamn","hotdamn"
"hummer","hummer"
"husky","husky"
"hussy","hussy"
"hustler","hustler"
"hymen","hymen"
"hymie","hymie"
"iblowu","iblowu"
"idiot","idiot"
"ikey","ikey"
"illegal","illegal"
"insest","insest"
"israel","israel"
"israeli","israeli"
"itch","itch"
"jackass","jackass"
"jackoff","jackoff"
"jade","jade"
"jap","jap"
"japcrap","japcrap"
"jebus","jebus"
"jeez","jeez"
"jerkoff","jerkoff"
"jesus","jesus"
"jew","jew"
"jewish","jewish"
"jiga","jiga"
"jigg","jigg"
"jigga","jigga"
"jiggabo","jiggabo"
"jigger","jigger"
"jiggy","jiggy"
"jihad","jihad"
"jimfish","jimfish"
"jism","jism"
"jiz","jiz"
"jizim","jizim"
"jizm","jizm"
"jizzim","jizzim"
"jizzum","jizzum"
"joint","joint"
"juggalo","juggalo"
"jugs","jugs"
"kaffer","kaffer"
"kaffir","kaffir"
"kaffre","kaffre"
"kafir","kafir"
"kanake","kanake"
"kid","kid"
"kigger","kigger"
"kill","kill"
"killed","killed"
"killer","killer"
"killing","killing"
"kills","kills"
"kink","kink"
"kissass","kissass"
"kkk","kkk"
"knife","knife"
"kock","kock"
"kondum","kondum"
"koon","koon"
"kotex","kotex"
"krap","krap"
"krappy","krappy"
"kraut","kraut"
"kum","kum"
"kummer","kummer"
"kumming","kumming"
"kumquat","kumquat"
"kums","kums"
"kunt","kunt"
"ky","ky"
"kyke","kyke"
"lactate","lactate"
"laid","laid"
"latin","latin"
"lesbain","lesbain"
"lesbayn","lesbayn"
"lesbian","lesbian"
"lesbin","lesbin"
"lesbo","lesbo"
"lez","lez"
"lezbe","lezbe"
"lezbo","lezbo"
"lezz","lezz"
"lezzo","lezzo"
"liberal","liberal"
"libido","libido"
"licker","licker"
"lickme","lickme"
"lies","lies"
"limey","limey"
"limy","limy"
"liquor","liquor"
"looser","looser"
"loser","loser"
"lotion","lotion"
"lovegoo","lovegoo"
"lovegun","lovegun"
"lowlife","lowlife"
"lsd","lsd"
"lubejob","lubejob"
"lucifer","lucifer"
"lugan","lugan"
"lynch","lynch"
"macaca","macaca"
"mad","mad"
"mafia","mafia"
"mams","mams"
"meth","meth"
"mexican","mexican"
"mgger","mgger"
"mggor","mggor"
"mideast","mideast"
"mockey","mockey"
"mockie","mockie"
"mocky","mocky"
"mofo","mofo"
"moky","moky"
"moles","moles"
"molest","molest"
"mormon","mormon"
"moron","moron"
"moslem","moslem"
"muff","muff"
"mulatto","mulatto"
"muncher","muncher"
"munt","munt"
"murder","murder"
"muslim","muslim"
"naked","naked"
"nasty","nasty"
"nastyho","nastyho"
"nazi","nazi"
"necro","necro"
"negroes","negroes"
"negroid","negroid"
"negro's","negro's"
"nig","nig"
"niger","niger"
"nigg","nigg"
"niggah","niggah"
"niggard","niggard"
"niggaz","niggaz"
"niggers","niggers"
"niggle","niggle"
"niggled","niggled"
"niggles","niggles"
"niggor","niggor"
"niggur","niggur"
"niglet","niglet"
"nignog","nignog"
"nigr","nigr"
"nigra","nigra"
"nigre","nigre"
"nip","nip"
"nittit","nittit"
"nlgger","nlgger"
"nlggor","nlggor"
"nook","nook"
"nookey","nookey"
"nookie","nookie"
"noonan","noonan"
"nooner","nooner"
"nudger","nudger"
"nuke","nuke"
"nymph","nymph"
"oral","oral"
"orga","orga"
"orgasim","orgasim"
"orgies","orgies"
"osama","osama"
"pansies","pansies"
"pansy","pansy"
"panti","panti"
"payo","payo"
"peck","peck"
"pecker","pecker"
"pee","pee"
"peehole","peehole"
"pee-pee","pee-pee"
"pendy","pendy"
"peni5","peni5"
"penile","penile"
"penises","penises"
"period","period"
"perv","perv"
"phuk","phuk"
"phuked","phuked"
"phuking","phuking"
"phukked","phukked"
"phungky","phungky"
"phuq","phuq"
"pi55","pi55"
"piker","piker"
"piky","piky"
"pimp","pimp"
"pimped","pimped"
"pimper","pimper"
"pindick","pindick"
"piss","piss"
"pissed","pissed"
"pisser","pisser"
"pisses","pisses"
"pissin","pissin"
"pissoff","pissoff"
"pistol","pistol"
"pixie","pixie"
"pixy","pixy"
"pocha","pocha"
"pocho","pocho"
"pohm","pohm"
"polack","polack"
"pom","pom"
"pommie","pommie"
"pommy","pommy"
"poo","poo"
"poop","poop"
"pooper","pooper"
"pooping","pooping"
"popimp","popimp"
"pot","pot"
"poverty","poverty"
"pric","pric"
"prick","prick"
"pros","pros"
"pu55i","pu55i"
"pu55y","pu55y"
"pube","pube"
"pubic","pubic"
"pud","pud"
"pudboy","pudboy"
"pudd","pudd"
"puddboy","puddboy"
"puke","puke"
"puntang","puntang"
"puss","puss"
"pussie","pussie"
"pussies","pussies"
"pusy","pusy"
"quashie","quashie"
"queer","queer"
"quickie","quickie"
"ra8s","ra8s"
"rabbi","rabbi"
"racial","racial"
"racist","racist"
"radical","radical"
"randy","randy"
"raped","raped"
"raper","raper"
"rearend","rearend"
"redneck","redneck"
"reefer","reefer"
"reestie","reestie"
"refugee","refugee"
"reject","reject"
"remains","remains"
"rere","rere"
"retard","retard"
"ribbed","ribbed"
"rigger","rigger"
"roach","roach"
"robber","robber"
"rump","rump"
"russki","russki"
"russkie","russkie"
"sadis","sadis"
"sadom","sadom"
"sandm","sandm"
"satan","satan"
"scag","scag"
"screw","screw"
"scrotum","scrotum"
"scum","scum"
"seppo","seppo"
"servant","servant"
"sexed","sexed"
"sexfarm","sexfarm"
"sexing","sexing"
"sexpot","sexpot"
"sextogo","sextogo"
"sextoy","sextoy"
"sextoys","sextoys"
"shag","shag"
"shaggin","shaggin"
"shat","shat"
"shav","shav"
"sheeney","sheeney"
"shhit","shhit"
"shinola","shinola"
"shitcan","shitcan"
"shite","shite"
"shited","shited"
"shitfit","shitfit"
"shiting","shiting"
"shitola","shitola"
"shits","shits"
"shitted","shitted"
"shitter","shitter"
"shoot","shoot"
"sick","sick"
"sissy","sissy"
"skank","skank"
"skanky","skanky"
"skum","skum"
"skumbag","skumbag"
"slant","slant"
"slapper","slapper"
"slav","slav"
"slave","slave"
"slime","slime"
"slopey","slopey"
"slopy","slopy"
"sluts","sluts"
"slutt","slutt"
"slutty","slutty"
"smack","smack"
"snigger","snigger"
"sniper","sniper"
"snot","snot"
"sob","sob"
"sodom","sodom"
"sooty","sooty"
"sos","sos"
"soviet","soviet"
"spank","spank"
"sperm","sperm"
"spick","spick"
"spig","spig"
"spik","spik"
"spit","spit"
"spitter","spitter"
"spunky","spunky"
"squaw","squaw"
"stagg","stagg"
"stiffy","stiffy"
"stroke","stroke"
"stupid","stupid"
"sucker","sucker"
"suckme","suckme"
"suckoff","suckoff"
"suicide","suicide"
"swallow","swallow"
"swalow","swalow"
"taboo","taboo"
"taff","taff"
"tampon","tampon"
"tang","tang"
"tantra","tantra"
"tarbaby","tarbaby"
"tard","tard"
"teat","teat"
"terror","terror"
"teste","teste"
"tinkle","tinkle"
"titfuck","titfuck"
"titjob","titjob"
"tittie","tittie"
"tnt","tnt"
"toilet","toilet"
"tongue","tongue"
"tortur","tortur"
"torture","torture"
"tramp","tramp"
"trannie","trannie"
"triplex","triplex"
"trojan","trojan"
"trots","trots"
"turd","turd"
"turnon","turnon"
"uck","uck"
"uk","uk"
"urinary","urinary"
"urinate","urinate"
"urine","urine"
"usama","usama"
"uterus","uterus"
"vaginal","vaginal"
"vatican","vatican"
"vibr","vibr"
"virgin","virgin"
"vomit","vomit"
"wab","wab"
"wanker","wanker"
"wanking","wanking"
"waysted","waysted"
"weapon","weapon"
"weenie","weenie"
"weewee","weewee"
"welcher","welcher"
"welfare","welfare"
"wetb","wetb"
"wetspot","wetspot"
"whacker","whacker"
"whash","whash"
"whigger","whigger"
"whiskey","whiskey"
"whit","whit"
"whites","whites"
"whitey","whitey"
"whiz","whiz"
"whop","whop"
"wigger","wigger"
"willie","willie"
"willy","willy"
"wn","wn"
"wog","wog"
"women's","women's"
"wop","wop"
"wtf","wtf"
"wuss","wuss"
"wuzzie","wuzzie"
"xtc","xtc"
"yankee","yankee"
"zigabo","zigabo"
"0rg@sm","0rg@sm"
"0rgasms","0rgasms"
"4r5e","4r5e"
"4r5ed","4r5ed"
"4r5es","4r5es"
"4skin","4skin"
"5h17","5h17"
"5h1t","5h1t"
"5kank","5kank"
"a_s_s","a_s_s"
"abbie","abbie"
"abeed","abeed"
"aboe","aboe"
"ar5e","ar5e"
"ashole","ashole"
"assface","assface"
"assfck","assfck"
"assfk","assfk"
"assfker","assfker"
"assfkr","assfkr"
"assfook","assfook"
"asshol3","asshol3"
"azz","azz"
"azzhole","azzhole"
"b00bz","b00bz"
"b0llock","b0llock"
"b1+ch","b1+ch"
"b17ch","b17ch"
"b1otch","b1otch"
"b1otchs","b1otchs"
"b1tch","b1tch"
"b1tch35","b1tch35"
"b1tch3s","b1tch3s"
"b1tches","b1tches"
"b1tchez","b1tchez"
"b1tchin","b1tchin"
"b1tchs","b1tchs"
"b1tchy","b1tchy"
"ballbag","ballbag"
"basterd","basterd"
"bastid","bastid"
"basturd","basturd"
"bater","bater"
"bates","bates"
"batshit","batshit"
"bbc","bbc"
"beeotch","beeotch"
"bellend","bellend"
"bender","bender"
"bewbs","bewbs"
"beyoch","beyoch"
"beyotch","beyotch"
"bi + ch","bi+ch"
"bi+ch","bi+ch"
"biches","biches"
"biotch","biotch"
"bishes","bishes"
"bitch3s","bitch3s"
"bitched","bitched"
"bitchs","bitchs"
"bizzach","bizzach"
"BJ","BJ"
"blacky","blacky"
"boll0ck","boll0ck"
"bollox","bollox"
"breasts","breasts"
"bullshi","bullshi"
"bumhole","bumhole"
"bwc","bwc"
"c*nt","c*nt"
"c*nts","c*nts"
"c*nty","c*nty"
"c00n","c00n"
"c00nies","c00nies"
"c0ck","c0ck"
"c0cks","c0cks"
"c0x","c0x"
"c0xux0r","c0xux0r"
"caaak","caaak"
"caca","caca"
"cack","cack"
"cagone","cagone"
"cajones","cajones"
"cawk","cawk"
"cawks","cawks"
"ch1nk","ch1nk"
"chocha","chocha"
"cholo","cholo"
"cockboy","cockboy"
"cockhed","cockhed"
"cocksuk","cocksuk"
"cocsuck","cocsuck"
"coon1es","coon1es"
"cooni3s","cooni3s"
"coonie","coonie"
"coonies","coonies"
"coot","coot"
"cooter","cooter"
"cooties","cooties"
"crotchy","crotchy"
"crow","crow"
"crows","crows"
"cumball","cumball"
"cums","cums"
"cumslut","cumslut"
"cumz","cumz"
"cuntbag","cuntbag"
"cuntits","cuntits"
"cunts","cunts"
"cunty","cunty"
"cuntz","cuntz"
"cuunt","cuunt"
"d!ck","d!ck"
"d!cks","d!cks"
"d!ld0","d!ld0"
"d!ldo","d!ldo"
"d1ck","d1ck"
"d1cks","d1cks"
"d1ckz","d1ckz"
"d1ldo","d1ldo"
"dafuq","dafuq"
"darkass","darkass"
"dicks","dicks"
"dickvag","dickvag"
"dickz","dickz"
"dikhead","dikhead"
"diks","diks"
"dild0","dild0"
"dipsh1t","dipsh1t"
"dipshat","dipshat"
"dlck","dlck"
"dlcks","dlcks"
"dogsh1t","dogsh1t"
"dogshit","dogshit"
"dolt","dolt"
"doosh","doosh"
"dothead","dothead"
"douche","douche"
"dumb@ss","dumb@ss"
"f_u_c_k","f_u_c_k"
"f'ed","f'ed"
"f'er","f'er"
"f@ck","f@ck"
"f@cker","f@cker"
"f@g","f@g"
"f@gg0t","f@gg0t"
"f@gging","f@gging"
"f@ggot","f@ggot"
"f@gs","f@gs"
"f@gshit","f@gshit"
"f@k","f@k"
"f0ck","f0ck"
"f0cked","f0cked"
"f0cker","f0cker"
"f0ckers","f0ckers"
"fack","fack"
"fackuhs","fackuhs"
"fag bag","fagbag"
"fag hag","faghag"
"fag0t","fag0t"
"faget","faget"
"fagg0t","fagg0t"
"faggo","faggo"
"faggots","faggots"
"faggs","faggs"
"faggy","faggy"
"fags","fags"
"fagshit","fagshit"
"fccuker","fccuker"
"fck","fck"
"fck you","fckyou"
"fcka","fcka"
"fckahz","fckahz"
"fcked","fcked"
"fckedup","fckedup"
"fcker","fcker"
"fckin","fckin"
"fcking","fcking"
"Fckk","Fckk"
"fckked","fckked"
"fckking","fckking"
"fcks","fcks"
"fcktard","fcktard"
"fckyeah","fckyeah"
"fcuk","fcuk"
"fcuked","fcuked"
"fcuker","fcuker"
"fcukers","fcukers"
"fcuking","fcuking"
"fcukker","fcukker"
"fcuks","fcuks"
"fcvking","fcvking"
"feck","feck"
"fecker","fecker"
"feg","feg"
"fick","fick"
"finger","finger"
"fkbny","fkbny"
"fked","fked"
"fker","fker"
"fking","fking"
"fkings","fkings"
"fkker","fkker"
"flamer","flamer"
"flamers","flamers"
"focker","focker"
"fook","fook"
"fooker","fooker"
"fookuh","fookuh"
"forked","forked"
"fucc","fucc"
"fucca","fucca"
"fuccers","fuccers"
"fuccing","fuccing"
"fuccs","fuccs"
"Fuck","Fuck"
"fuck up","fuckup"
"fuckahs","fuckahs"
"fuckass","fuckass"
"fuckaz","fuckaz"
"fuckboy","fuckboy"
"fuckem","fuckem"
"fuckk","fuckk"
"fuckup","fuckup"
"fuckwad","fuckwad"
"fucs","fucs"
"fucx","fucx"
"fugged","fugged"
"fugger","fugger"
"fuggerz","fuggerz"
"fuk1n","fuk1n"
"fuk1ng","fuk1ng"
"fukcs","fukcs"
"fuker","fuker"
"fukin","fukin"
"fuking","fuking"
"fukk","fukk"
"fukka","fukka"
"fukked","fukked"
"fukker","fukker"
"fukkers","fukkers"
"fukking","fukking"
"fukkuh","fukkuh"
"fuku","fuku"
"fukwit","fukwit"
"funbags","funbags"
"fuq","fuq"
"fux","fux"
"fux0r","fux0r"
"fvck","fvck"
"fvcka","fvcka"
"fvcker","fvcker"
"fvckers","fvckers"
"fvckin","fvckin"
"fvcking","fvcking"
"fvckker","fvckker"
"fvckwhi","fvckwhi"
"fxck","fxck"
"fxcked","fxcked"
"fxcker","fxcker"
"fxcking","fxcking"
"g@ylord","g@ylord"
"g@yshit","g@yshit"
"g0ddamn","g0ddamn"
"gaylord","gaylord"
"gaytard","gaytard"
"geebag","geebag"
"god-dam","god-dam"
"gowl","gowl"
"greaser","greaser"
"groid","groid"
"groper","groper"
"higg@","higg@"
"higg3r","higg3r"
"higga","higga"
"higger","higger"
"higgers","higgers"
"hoar","hoar"
"hoe","hoe"
"hoebag","hoebag"
"homos","homos"
"injun","injun"
"j-offs","j-offs"
"j3rk","j3rk"
"jagoff","jagoff"
"jewboy","jewboy"
"jiggabu","jiggabu"
"jiggas","jiggas"
"jiggs","jiggs"
"jigro","jigro"
"jizzed","jizzed"
"jizzes","jizzes"
"jizzing","jizzing"
"jizzy","jizzy"
"k!k3","k!k3"
"k!ke","k!ke"
"k..!ke","k..!ke"
"k1k3","k1k3"
"k1ke","k1ke"
"kikes","kikes"
"klan","klan"
"knob","knob"
"knob3d","knob3d"
"knob3nd","knob3nd"
"knobd","knobd"
"knobe","knobe"
"knobead","knobead"
"knobed","knobed"
"knobeds","knobeds"
"knobend","knobend"
"knober","knober"
"knobes","knobes"
"l@dyb0i","l@dyb0i"
"l@dyb0y","l@dyb0y"
"l@dyboy","l@dyboy"
"l3i+ch","l3i+ch"
"l3itch","l3itch"
"ladboys","ladboys"
"ladboyz","ladboyz"
"ladiboy","ladiboy"
"ladyb0i","ladyb0i"
"ladyb0y","ladyb0y"
"ladyboy","ladyboy"
"m0f0","m0f0"
"m0f0s","m0f0s"
"m0fo","m0fo"
"m0foes","m0foes"
"m0fos","m0fos"
"manseed","manseed"
"mf'er","mf'er"
"mf'ers","mf'ers"
"mf'ing","mf'ing"
"mfckers","mfckers"
"MFer","MFer"
"MFers","MFers"
"mfing","mfing"
"mfk","mfk"
"mfs","mfs"
"mfukk","mfukk"
"mfukker","mfukker"
"mof0es","mof0es"
"mof0s","mof0s"
"mofcker","mofcker"
"mofoes","mofoes"
"mofos","mofos"
"mofuck","mofuck"
"mofuk","mofuk"
"mongrel","mongrel"
"n0bhead","n0bhead"
"n1ckker","n1ckker"
"n1g3r","n1g3r"
"n1g3rz","n1g3rz"
"n1gg@","n1gg@"
"n1gg@hs","n1gg@hs"
"n1gg3r","n1gg3r"
"n1gg3rs","n1gg3rs"
"n1gga","n1gga"
"n1ggah","n1ggah"
"n1ggahs","n1ggahs"
"n1ggas","n1ggas"
"n1gger","n1gger"
"n1ggers","n1ggers"
"n1gguh","n1gguh"
"n3gro","n3gro"
"negga","negga"
"neggar","neggar"
"negr0","negr0"
"niccer","niccer"
"nicka","nicka"
"nickas","nickas"
"nicker","nicker"
"nickk3r","nickk3r"
"nickker","nickker"
"nig-nog","nig-nog"
"niga","niga"
"nigah","nigah"
"nigers","nigers"
"nigg@","nigg@"
"nigg@hs","nigg@hs"
"nigg@s","nigg@s"
"nigg@z","nigg@z"
"nigg3r","nigg3r"
"nigg3rs","nigg3rs"
"nigg4h","nigg4h"
"nigg4hs","nigg4hs"
"niggahs","niggahs"
"niggahz","niggahz"
"niggas","niggas"
"niggass","niggass"
"niggerz","niggerz"
"niggir","niggir"
"nigguh","nigguh"
"nigguhs","nigguhs"
"nigguhz","nigguhz"
"nignigs","nignigs"
"nigs","nigs"
"niguh","niguh"
"nikk3r","nikk3r"
"nikkas","nikkas"
"nikker","nikker"
"nobhead","nobhead"
"nobs","nobs"
"nonce","nonce"
"nuckas","nuckas"
"nutsack","nutsack"
"pedo","pedo"
"pedophl","pedophl"
"pedos","pedos"
"pedoz","pedoz"
"peen","peen"
"peener","peener"
"phaggot","phaggot"
"phagot","phagot"
"phags","phags"
"phuc","phuc"
"phucc","phucc"
"phuccer","phuccer"
"phuck","phuck"
"phuck3r","phuck3r"
"phucked","phucked"
"phucker","phucker"
"phuckin","phuckin"
"phucks","phucks"
"phucup","phucup"
"phukeds","phukeds"
"phukk","phukk"
"phukker","phukker"
"phuks","phuks"
"phuku","phuku"
"phukup","phukup"
"phuqs","phuqs"
"pigshit","pigshit"
"pricks","pricks"
"pu$sy","pu$sy"
"punani","punani"
"pusses","pusses"
"pussys","pussys"
"puta","puta"
"puussy","puussy"
"puzzies","puzzies"
"puzzy","puzzy"
"r3t@rd","r3t@rd"
"r3tard","r3tard"
"ragtard","ragtard"
"rap3d","rap3d"
"rap3","rap3"
"ramrod","ramrod"
"baztad","baztad"
"redskin","redskin"
"retardo","retardo"
"rim job","rimjob"
"s_h_i_","s_h_i_"
"s_h_i_s","s_h_i_s"
"s-lut","s-lut"
"s.o.b.","s.o.b."
