"id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
3644100065,"20150427T000000",257000,2,1.75,1220,2268,1,0,0,4,6,610,610,1909,0,98144,47.592,-122.295,1240,1675
1311600030,"20140716T000000",270000,4,1.75,1850,7350,1,0,0,3,7,1050,800,1965,0,98001,47.3413,-122.277,1450,7250
3298701025,"20150427T000000",135000,2,1,750,5217,1,0,0,4,6,750,0,1943,0,98106,47.5188,-122.353,760,4440
2525300540,"20141114T000000",185000,3,1.5,1090,9605,1,0,0,4,6,1090,0,1969,0,98038,47.3609,-122.028,1160,10487
123039424,"20140710T000000",303000,2,2,970,9750,1,0,0,5,6,970,0,1940,0,98146,47.5073,-122.372,1850,9000
2028700535,"20150225T000000",855000,4,3,2550,5300,2,0,0,3,8,1720,830,1908,2013,98117,47.6786,-122.367,1590,4505
4077800412,"20150316T000000",563000,3,1.5,1730,9509,2,0,0,3,8,1270,460,1955,0,98125,47.7067,-122.282,1810,8795
9477200200,"20140818T000000",305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,0,98034,47.726,-122.191,1540,8400
993001332,"20140903T000000",407000,3,2.25,1430,1448,3,0,0,3,8,1430,0,2005,0,98103,47.6916,-122.341,1430,1383
2919700109,"20140722T000000",350000,2,2.5,1280,940,2,0,0,3,8,1060,220,2006,0,98103,47.6904,-122.364,1290,2900
5437820310,"20140523T000000",218000,3,1,960,9633,1,0,0,5,6,960,0,1982,0,98022,47.1951,-122.001,1080,8610
1954420170,"20140521T000000",368250,3,2.5,2150,7484,2,0,0,3,8,2150,0,1988,0,98074,47.6191,-122.043,2150,6879
7202300540,"20140701T000000",825000,4,2.75,3990,6637,2,0,0,3,9,3990,0,2003,0,98053,47.6835,-122.045,3500,7074
3256400060,"20140923T000000",325000,4,2.75,2090,9240,1,0,0,4,6,2090,0,1949,0,98146,47.4854,-122.343,1460,9240
1972200555,"20140714T000000",610000,3,1.75,1630,1500,3,0,0,3,8,1630,0,2014,0,98103,47.6536,-122.354,1570,1335
7312400030,"20150130T000000",442000,2,1,1410,5000,1,0,2,4,7,940,470,1918,0,98126,47.5531,-122.379,1450,5000
7254000100,"20141215T000000",680000,3,2.5,2060,2551,2,0,0,3,8,1900,160,2001,0,98005,47.5881,-122.165,2060,2936
9900000190,"20141030T000000",268950,3,1,1320,8100,1,0,0,3,6,880,440,1943,0,98166,47.4697,-122.351,1000,8100
1545803980,"20150425T000000",239000,3,1,1200,7810,1,0,0,4,7,1200,0,1967,0,98038,47.3631,-122.05,1590,7800
3546000630,"20140826T000000",289000,3,2.5,2110,8304,1,0,0,4,7,2110,0,1985,0,98030,47.3558,-122.173,1680,7508
2768301214,"20141211T000000",395000,2,1,870,3121,1,0,0,4,7,870,0,1923,0,98107,47.6659,-122.369,1570,1777
2887700140,"20140707T000000",588000,3,2,1860,4777,2,0,0,5,7,1860,0,1908,0,98115,47.6892,-122.311,1580,3822
287000110,"20140625T000000",680000,4,1.5,1880,6200,1,0,2,5,8,1440,440,1954,0,98146,47.5035,-122.384,2070,6500
7856601040,"20150220T000000",745000,4,1.75,1990,8900,1,0,0,4,8,1990,0,1972,0,98006,47.5639,-122.149,2620,8925
251300260,"20140515T000000",255000,4,2.5,2070,7800,2,0,0,3,8,2070,0,1989,0,98003,47.3487,-122.315,1950,7815
5152960080,"20141210T000000",375000,3,2.75,2200,9600,1,0,3,4,8,1570,630,1977,0,98003,47.3438,-122.323,2680,9896
1025049254,"20141204T000000",458000,3,4,1390,1569,2,0,0,3,9,1150,240,2006,0,98105,47.671,-122.269,1620,1855
2489200165,"20140807T000000",435000,3,1,1050,5500,1,0,0,3,6,930,120,1920,0,98126,47.5402,-122.38,1410,5834
8902000267,"20150402T000000",5e+05,4,2.75,2260,7209,1,0,3,3,7,1330,930,2002,0,98125,47.7088,-122.302,1790,10860
8700100010,"20140710T000000",315000,3,2.5,2340,6837,2,0,0,3,7,2340,0,1992,0,98030,47.3608,-122.194,1850,6209
104550660,"20140728T000000",275000,3,2.5,1870,6821,2,0,0,3,7,1870,0,1989,0,98023,47.3065,-122.358,1970,6821
3763300040,"20141027T000000",4e+05,3,1.5,1330,9900,1,0,0,3,7,1330,0,1956,0,98034,47.7167,-122.233,1940,9900
2472920680,"20150112T000000",440000,4,2.5,2880,8061,2,0,0,3,9,2880,0,1988,0,98058,47.439,-122.152,2650,7660
1858600042,"20150429T000000",360000,4,3,2483,6870,2,0,0,3,8,2483,0,2005,0,98030,47.3627,-122.199,1943,6434
705710290,"20150420T000000",361500,4,2.75,2190,6740,2,0,0,3,7,2190,0,1995,0,98038,47.3804,-122.027,1950,7150
6882510020,"20140715T000000",340000,4,1.75,1800,5210,1,0,0,5,7,1080,720,1979,0,98118,47.5298,-122.28,1870,5365
3298700156,"20140610T000000",310000,3,2.5,1780,6771,1,0,0,3,7,1230,550,1990,0,98106,47.5237,-122.353,1780,6771
3438500796,"20150430T000000",310000,3,1.5,1060,6954,1,0,0,4,6,1060,0,1983,0,98106,47.5497,-122.355,1560,6372
567000680,"20140801T000000",359000,3,3,1320,1071,2,0,0,3,7,1080,240,2003,0,98144,47.5942,-122.296,1780,7715
8835200330,"20141208T000000",399950,3,2.5,1470,4488,2,0,0,5,7,1470,0,1980,0,98034,47.723,-122.162,1400,4441
7986400360,"20140717T000000",770000,5,1.5,2160,5000,1.5,0,2,4,8,2160,0,1926,0,98107,47.6645,-122.36,1450,4265
9393700110,"20140603T000000",430000,3,2,1360,5120,1.5,0,0,4,6,910,450,1924,0,98116,47.5587,-122.393,1440,5120
7010700110,"20140916T000000",440000,3,2.25,1760,1800,2,0,0,3,7,1330,430,1983,0,98199,47.6579,-122.394,1150,4575
5592200010,"20150227T000000",445000,3,2.5,2380,5269,2,0,0,3,8,2380,0,2008,0,98056,47.5066,-122.192,2150,7600
2483700095,"20141106T000000",560000,4,1.5,1810,6000,1,0,1,3,8,1350,460,1952,0,98136,47.5233,-122.386,2020,6000
1231000520,"20141118T000000",607010,4,2.5,2180,4000,2,0,0,3,8,1700,480,2002,0,98118,47.5553,-122.269,2180,4000
4415600030,"20150316T000000",433000,3,2.75,2000,7200,1,0,0,3,7,1000,1000,1954,2014,98166,47.4531,-122.352,1440,7200
7853370100,"20150406T000000",599832,3,2.75,3230,5200,2,0,0,3,9,2680,550,2014,0,98065,47.519,-121.878,3100,4900
2206500300,"20140820T000000",565000,5,1.75,1910,9720,1,0,0,4,7,1390,520,1955,0,98006,47.5772,-122.159,1750,9720
3589500315,"20140919T000000",526000,3,3.25,1220,1281,2,0,0,3,8,930,290,2014,0,98105,47.67,-122.317,1303,3810
2419700030,"20140825T000000",820000,4,2.5,3170,3862,3,0,0,3,8,3170,0,2008,0,98034,47.6705,-122.145,2840,4181
5249804560,"20140818T000000",510000,4,1,1060,7200,1,0,1,3,6,880,180,1925,0,98118,47.5591,-122.268,1910,7200
7972600910,"20150507T000000",433000,4,2,1840,4760,1.5,0,0,4,6,1080,760,1929,0,98106,47.5297,-122.349,1170,5950
2025049114,"20140529T000000",402000,2,1,710,1173,2,0,0,4,7,710,0,1943,0,98102,47.6412,-122.329,1370,1173
1073100065,"20150217T000000",348125,3,1,1400,8451,1.5,0,0,3,7,1400,0,1953,0,98133,47.7719,-122.337,1590,8433
3902310210,"20140822T000000",610000,4,2.5,2100,8800,1,0,0,5,8,1250,850,1980,0,98033,47.6909,-122.186,2100,9000
6699940120,"20150430T000000",356000,4,2.5,2470,5074,2,0,0,3,8,2470,0,2004,0,98038,47.3457,-122.041,2470,5078
1994200024,"20141104T000000",511000,3,1,1430,3455,1,0,0,3,7,980,450,1947,0,98103,47.6873,-122.336,1450,4599
7243500015,"20141003T000000",275000,4,2,1720,5472,1,0,0,3,6,860,860,1923,0,98118,47.5299,-122.288,1720,5670
9169100130,"20141007T000000",502000,2,1,1570,4704,1.5,0,1,3,8,1570,0,1931,0,98136,47.5256,-122.392,1820,4704
3574800810,"20150403T000000",486000,4,3,2260,7336,2,0,0,4,7,2260,0,1977,0,98034,47.7297,-122.219,2200,7724
2610100015,"20140813T000000",305000,4,1.75,1000,7200,1.5,0,0,4,6,1000,0,1947,0,98155,47.742,-122.324,1280,7200
1330250010,"20140604T000000",289950,3,2,1670,7757,1,0,0,3,8,1670,0,1992,0,98030,47.3802,-122.207,2290,7859
2710600015,"20150327T000000",775000,4,3,2000,5304,1.5,0,0,4,7,2000,0,1947,0,98115,47.6762,-122.285,1670,5304
3818700123,"20140813T000000",390000,3,2,2360,5737,2,0,0,3,8,2360,0,2003,0,98028,47.7633,-122.262,1600,9163
7663700654,"20141214T000000",450000,4,1.5,1860,7808,1,0,0,3,7,1080,780,1953,0,98125,47.7314,-122.3,1530,7884
1377800135,"20150402T000000",676000,3,2,1730,6784,2.5,0,0,4,7,1730,0,1942,0,98199,47.6462,-122.403,1210,6784
4218400671,"20150505T000000",1655000,4,2.25,3530,5500,2,0,0,3,8,2860,670,1940,0,98105,47.6618,-122.273,2840,5500
2558630060,"20140530T000000",425000,3,2.25,1820,8058,1,0,0,3,7,1260,560,1974,0,98034,47.7241,-122.168,1850,7384
6386550040,"20141223T000000",345500,4,2.5,2160,9682,2,0,0,3,8,2160,0,1999,0,98031,47.4106,-122.204,1770,9600
3172600095,"20140708T000000",371500,3,1,1650,6400,1,0,0,4,7,980,670,1954,0,98106,47.52,-122.365,1230,6400
4027700666,"20150426T000000",780000,4,2.5,3180,9603,2,0,2,3,9,3180,0,2002,0,98155,47.7717,-122.277,2440,15261
8651580310,"20140528T000000",621138,3,2.25,2180,7741,2,0,0,3,9,2180,0,1986,0,98074,47.6482,-122.072,2300,8581
1571100130,"20140904T000000",285000,3,1,1440,4268,1,0,0,3,7,1040,400,1953,0,98108,47.5468,-122.293,1370,4268
1036450170,"20150312T000000",660000,3,3.5,2740,3785,2,0,0,3,9,2190,550,2001,0,98034,47.7195,-122.182,2060,3457
7437100340,"20141222T000000",360000,4,2.5,1900,5889,2,0,0,3,7,1900,0,1992,0,98038,47.349,-122.031,1870,6405
342000570,"20140909T000000",429000,2,1,1080,3600,1,0,0,3,7,1080,0,1922,0,98122,47.6078,-122.291,2230,4500
4038200120,"20140825T000000",534000,5,1.75,2120,8625,1,0,0,3,7,1200,920,1959,0,98008,47.6118,-122.131,1930,8625
1683600130,"20141210T000000",245000,3,1.75,1720,9342,1,0,0,4,7,1140,580,1981,0,98092,47.3177,-122.182,1330,7540
8635750090,"20140602T000000",668500,4,2.5,2710,5500,2,0,0,3,9,2710,0,1999,0,98074,47.6027,-122.023,2710,6242
7954000125,"20150501T000000",562000,3,1.75,1880,5978,1,0,0,5,7,940,940,1957,0,98144,47.5793,-122.294,1930,4770
8835200800,"20150408T000000",281000,2,1,930,2600,1,0,0,3,7,930,0,1981,0,98034,47.7242,-122.161,1370,3488
4140100200,"20140808T000000",499000,3,2.25,3010,9600,2,0,0,3,8,2410,600,1978,0,98028,47.7671,-122.263,2620,9660
7129302615,"20150304T000000",292000,3,1.75,1090,4500,1.5,0,0,5,8,1090,0,1929,0,98118,47.5157,-122.256,1640,5225
3331500485,"20150102T000000",350000,2,1,800,5150,1,0,0,4,6,800,0,1949,0,98118,47.5525,-122.274,1280,5150
1450100070,"20150430T000000",208000,3,1,990,7420,1,0,0,5,6,990,0,1960,0,98002,47.2898,-122.221,1010,7420
9100000040,"20140807T000000",480000,3,1.75,1710,4080,1,0,0,4,7,1130,580,1979,0,98136,47.5563,-122.392,1200,4080
1788300010,"20141211T000000",179950,2,1,1200,9000,1,0,0,3,6,1200,0,1958,0,98023,47.3277,-122.349,1040,9600
4187000190,"20141117T000000",417000,3,2.5,2000,4500,2,0,0,3,7,2000,0,2010,0,98059,47.4937,-122.149,2230,4501
253600160,"20140530T000000",384950,3,2.5,1860,3690,2,0,0,3,7,1860,0,2000,0,98028,47.776,-122.239,1870,4394
9285800275,"20140814T000000",835000,3,2.25,2520,6690,2,0,2,5,8,1700,820,1944,1990,98126,47.5705,-122.381,1990,5792
1796351080,"20140718T000000",208000,3,2,1250,7995,1,0,0,4,7,1250,0,1980,0,98042,47.3684,-122.092,1540,7650
3235100110,"20141202T000000",280000,3,1,940,7913,1,0,0,3,6,940,0,1948,0,98155,47.7657,-122.321,940,7913
1755700090,"20140801T000000",405000,3,2.25,1590,7267,1,0,0,4,7,1100,490,1976,0,98133,47.7457,-122.332,2060,8336
8078600330,"20140708T000000",580000,3,2.25,1940,5980,1,0,0,3,7,1520,420,1987,0,98027,47.5476,-122.075,1910,6309
3883100220,"20150120T000000",299000,3,1.75,2010,8065,1,0,0,4,7,1090,920,1984,0,98031,47.4171,-122.202,1560,8065
1250200495,"20140624T000000",455000,2,1.5,1200,1259,2,0,0,3,8,1000,200,2015,0,98144,47.6001,-122.298,1320,1852
3904960910,"20140917T000000",635000,4,2.5,3050,7238,2,0,0,3,8,3050,0,1989,0,98029,47.5772,-122.013,2580,7228
5249804825,"20140702T000000",545000,3,2,1340,7200,1.5,0,0,4,7,1340,0,1923,0,98118,47.5601,-122.265,1630,5760
4139460200,"20150325T000000",905000,4,2.5,3330,9557,2,0,0,3,10,3330,0,1995,0,98006,47.5526,-122.102,3360,9755
9358000650,"20150423T000000",399950,2,0.75,1330,2856,1,0,0,4,7,930,400,1916,0,98126,47.5671,-122.37,1330,2856
1423049019,"20150331T000000",220000,2,1,580,7500,1,0,0,3,5,580,0,1943,0,98178,47.4852,-122.251,1700,11250
5365200040,"20141016T000000",235000,3,1,1270,7153,1,0,0,5,6,1270,0,1949,0,98055,47.4815,-122.226,1650,7153
1150000340,"20141118T000000",645500,4,2.5,2390,9638,2,0,0,3,10,2390,0,1988,0,98029,47.5598,-122.018,2630,9258
3330501975,"20141117T000000",475000,5,2,2040,6180,2,0,0,4,7,2040,0,1908,0,98118,47.5503,-122.28,1870,4365
8563020380,"20140520T000000",519900,4,2,1820,9350,1,0,0,4,8,1820,0,1967,0,98052,47.6288,-122.098,2260,9299
8856890020,"20150224T000000",265000,3,1.75,1680,9769,1,0,0,3,8,1340,340,1989,0,98058,47.4631,-122.126,1730,9686
3342103149,"20140910T000000",380000,3,1.5,1540,8400,1,0,0,5,7,1540,0,1968,0,98056,47.5237,-122.199,1690,7689
2760200050,"20140717T000000",226000,4,1,1270,6459,1.5,0,0,3,7,1270,0,1918,0,98118,47.5441,-122.273,1300,4100
8651442910,"20150325T000000",247500,4,2,1710,5200,1,0,0,4,7,910,800,1977,0,98042,47.3634,-122.09,1560,5200
3331001765,"20140923T000000",335000,3,1,2130,3825,1.5,0,0,3,7,2130,0,1917,0,98118,47.5506,-122.281,1780,5150
1036450290,"20150202T000000",495000,3,2.5,1860,3150,2,0,0,3,8,1860,0,2001,0,98034,47.719,-122.182,2050,3375
3260000120,"20150209T000000",599380,3,1.75,1270,7350,1,0,0,4,7,1270,0,1967,0,98005,47.6046,-122.168,1880,7350
1999600320,"20150304T000000",729000,3,2.5,2480,7428,2,0,0,3,9,2480,0,1990,0,98006,47.5489,-122.185,2600,8322
7907600100,"20150421T000000",287500,4,2,1220,9147,1,0,0,5,7,1220,0,1953,0,98146,47.5011,-122.336,1220,8576
2770604575,"20150506T000000",560000,3,1.75,1930,6000,1,0,0,3,8,1130,800,1956,0,98119,47.6516,-122.375,1870,6000
6662400105,"20141030T000000",375000,3,2.5,1580,5725,2,0,0,3,7,1580,0,2004,0,98072,47.7611,-122.161,1510,5725
4045500950,"20150415T000000",425000,3,1.5,1680,8000,1.5,0,0,3,7,1680,0,2012,0,98014,47.6923,-121.869,1990,26336
7812801125,"20150112T000000",222900,2,1,1110,6411,1,0,0,3,6,1110,0,1944,0,98178,47.4962,-122.242,1150,6504
2781230080,"20150408T000000",431000,4,2.5,3040,6000,2,0,0,3,9,3040,0,2007,0,98038,47.3473,-122.03,2640,6000
4083304535,"20141114T000000",1045000,4,2.75,2950,4560,2,0,0,5,7,1810,1140,1912,0,98103,47.6525,-122.333,2000,4560
3260810580,"20150417T000000",345000,3,2.75,2190,7258,2,0,0,3,8,2190,0,2000,0,98003,47.3486,-122.301,2190,8645
9320350130,"20140823T000000",453000,3,3,2330,4284,2,0,0,3,9,1920,410,2004,0,98108,47.5547,-122.308,2330,3709
4310700665,"20150305T000000",450000,4,3,2200,4466,2,0,0,3,7,2200,0,1968,0,98103,47.7005,-122.339,1780,2250
2436700610,"20150422T000000",550000,4,2,1720,4000,1,0,0,3,7,1420,300,1950,0,98105,47.6651,-122.285,1350,1281
1254200015,"20141216T000000",405000,3,2.5,2260,5500,1.5,0,0,3,7,1280,980,1910,0,98117,47.681,-122.388,1790,5355
109210280,"20141111T000000",220000,4,2.25,1950,7280,2,0,0,4,8,1950,0,1979,0,98023,47.2957,-122.37,1910,7280
9828201920,"20150304T000000",360000,3,1,1280,3870,1,0,0,3,7,640,640,1945,0,98122,47.6163,-122.294,1280,4800
7785380150,"20141215T000000",469950,4,2.75,2720,6427,1,0,0,3,8,1650,1070,2008,0,98146,47.4931,-122.354,2720,8484
5458800125,"20140514T000000",925000,4,2.5,2190,7350,2.5,0,0,5,8,2190,0,1958,0,98040,47.5786,-122.236,1880,7350
7852190630,"20150417T000000",6e+05,4,2.5,2710,6474,2,0,0,3,8,2710,0,2004,0,98065,47.5383,-121.878,2870,6968
7217400895,"20140609T000000",550000,3,1.75,1380,3402,1.5,0,0,3,7,1380,0,1900,2000,98122,47.6109,-122.302,1500,5496
9385200055,"20140912T000000",650000,3,3.25,1510,2000,2,0,0,3,9,1330,180,2001,0,98116,47.5815,-122.402,1510,1352
3362401611,"20150325T000000",1165000,4,3.75,3920,4500,3,0,0,3,8,3920,0,2013,0,98103,47.6805,-122.346,2040,3000
6638900265,"20140925T000000",812000,4,2.5,2270,5000,2,0,0,3,9,2270,0,2014,0,98117,47.6916,-122.37,1210,5000
2172000750,"20140527T000000",160000,2,1,1180,9350,1,0,0,3,6,1180,0,1918,0,98178,47.4889,-122.259,1780,9306
7299600530,"20150317T000000",280000,3,2.5,1608,4818,2,0,0,3,8,1608,0,2012,0,98092,47.2583,-122.203,2009,5200
3904930410,"20141028T000000",424000,3,2,1330,5632,1,0,0,3,8,1330,0,1988,0,98029,47.5745,-122.017,1900,4842
3438500114,"20150512T000000",377000,4,2,1640,5014,1,0,0,4,7,930,710,1982,0,98106,47.5545,-122.356,1600,5452
7812801115,"20140613T000000",153000,3,1,1270,6405,1.5,0,0,3,6,1270,0,1944,0,98178,47.4959,-122.241,1110,6405
306000565,"20140825T000000",290000,2,1.5,1020,1275,3,0,0,3,8,1020,0,2008,0,98103,47.7003,-122.346,980,1415
130000175,"20140806T000000",655000,4,2.75,3160,8197,1,0,0,3,8,1580,1580,1962,0,98115,47.7004,-122.287,2050,8197
2472930270,"20140905T000000",485000,3,2.5,3110,9015,2,0,0,3,9,3110,0,1990,0,98058,47.4369,-122.147,2650,8960
7231501665,"20150403T000000",277000,4,1,1500,5750,1.5,0,0,3,6,1500,0,1925,0,98055,47.4768,-122.206,1330,5750
9505100035,"20141105T000000",2e+05,2,1,1250,8520,1,0,0,3,6,1250,0,1928,0,98126,47.5158,-122.378,1040,8520
5379800862,"20150429T000000",360000,5,3,2480,7200,1,0,0,3,7,1560,920,1999,0,98188,47.4586,-122.283,1910,9432
7655900031,"20150306T000000",240000,2,1,590,8717,1,0,0,3,6,590,0,1953,0,98133,47.7343,-122.335,1370,6760
3179100482,"20150126T000000",450000,2,2.25,1040,1377,2,0,0,3,8,1040,0,2003,0,98105,47.6692,-122.279,1264,1892
5100403806,"20150407T000000",467000,3,2.5,1425,1179,3,0,0,3,8,1425,0,2008,0,98125,47.6963,-122.318,1285,1253
1102000759,"20141026T000000",755000,3,2.5,2420,8856,1,0,3,3,9,1620,800,1957,0,98118,47.5405,-122.263,2650,9750
7266200085,"20150325T000000",780000,5,1.75,2330,3800,1.5,0,0,3,7,1360,970,1927,0,98115,47.6835,-122.308,2100,3800
889000015,"20141103T000000",599000,3,1.75,1650,1180,3,0,0,3,8,1650,0,2014,0,98105,47.6638,-122.319,1650,1960
1189000180,"20140910T000000",525000,2,1,1510,3360,1,0,0,3,7,880,630,1924,0,98122,47.6135,-122.297,1330,3360
8045600130,"20140528T000000",425000,4,2.75,1680,9545,1,0,0,4,7,1080,600,1979,0,98028,47.739,-122.243,1890,9545
3630180470,"20150205T000000",8e+05,4,2.75,3250,5500,2,0,0,3,9,3250,0,2007,0,98027,47.5398,-121.997,3920,6000
1929300052,"20141029T000000",740000,3,2.5,2200,3000,2,0,0,3,9,1530,670,2002,0,98109,47.6451,-122.35,2200,3300
7568700175,"20140604T000000",324950,3,1,1210,7440,1,0,0,3,7,1210,0,1949,0,98155,47.7402,-122.323,1120,7440
293810190,"20141104T000000",456500,4,2.5,2400,6811,2,0,0,3,8,2400,0,2007,0,98059,47.4959,-122.15,2710,5314
4037000185,"20140919T000000",395000,4,1.75,2060,7900,1,0,0,4,7,1070,990,1957,0,98008,47.6028,-122.12,1830,8000
3530420110,"20140521T000000",195000,2,1,1080,3899,1,0,0,4,8,1080,0,1972,0,98198,47.3792,-122.321,1090,3899
7203101590,"20150108T000000",305000,2,1,1290,3383,2,0,0,3,7,1290,0,2008,0,98053,47.6968,-122.025,1290,2828
3374500520,"20150429T000000",355000,0,0,2460,8049,2,0,0,3,8,2460,0,1990,0,98031,47.4095,-122.168,2520,8050
8651611060,"20140804T000000",835000,4,3.25,3270,6027,2,0,0,3,10,3270,0,2001,0,98074,47.6346,-122.063,3270,6546
7012200215,"20141231T000000",795000,3,3.25,2260,3727,2,0,0,3,8,1880,380,2003,0,98119,47.6422,-122.361,1600,4800
3834000004,"20150302T000000",350000,2,1.5,1150,7552,1,0,1,3,7,1150,0,1944,0,98125,47.7298,-122.286,1910,8145
9547200340,"20150120T000000",520000,3,2.75,1700,3264,1,0,0,3,7,1060,640,1919,0,98115,47.6767,-122.311,1880,4080
1545803520,"20150126T000000",251000,3,2,1650,7930,1,0,0,4,7,1650,0,1989,0,98038,47.3617,-122.05,1510,7930
4137030040,"20140612T000000",299995,3,2.5,1970,7500,2,0,0,3,8,1970,0,1988,0,98092,47.2658,-122.218,1950,8220
339600010,"20141017T000000",352500,3,1,1000,4171,1,0,0,3,7,1000,0,1985,0,98052,47.6834,-122.097,1090,3479
2174503500,"20141103T000000",550000,3,1.5,1340,6000,1,0,0,4,7,1340,0,1960,0,98040,47.5866,-122.25,1590,9000
2867100005,"20150407T000000",710000,2,1,1700,3040,1.5,0,0,3,8,1460,240,1914,0,98119,47.6442,-122.369,1620,3230
3878900681,"20150121T000000",272000,1,0.75,1040,6034,1,0,1,3,7,580,460,1991,0,98178,47.5078,-122.251,1560,5650
1139000135,"20141009T000000",440000,4,1,1480,7560,1.5,0,0,3,7,1480,0,1940,0,98177,47.7079,-122.358,1480,7560
293070120,"20140918T000000",888990,4,2.75,3540,5500,2,0,0,3,9,3540,0,2014,0,98074,47.6181,-122.056,3540,5500
7883607645,"20140602T000000",155000,1,1,720,6000,1,0,0,3,6,720,0,1940,0,98108,47.5266,-122.316,1040,6000
1099610830,"20141202T000000",209000,3,1,1330,6900,1,0,0,3,7,1330,0,1976,0,98023,47.3033,-122.381,1530,7000
1220000100,"20150504T000000",215000,1,1,970,7639,1,0,0,4,5,570,400,1920,0,98166,47.4655,-122.346,1360,7380
4151800375,"20141204T000000",660000,2,1,960,6263,1,0,1,4,6,960,0,1942,0,98033,47.6646,-122.202,1460,6054
3885805175,"20141001T000000",1485000,4,3.25,3730,7200,2,0,0,3,10,2810,920,2006,0,98033,47.6824,-122.199,2490,7200
2025049206,"20140611T000000",399950,2,1,710,1131,2,0,0,4,7,710,0,1943,0,98102,47.6413,-122.329,1370,1173
4099100260,"20140903T000000",589000,3,2.5,2940,4799,1,0,0,3,9,1710,1230,1996,0,98033,47.6681,-122.184,2540,4616
2329800110,"20150128T000000",296500,3,2.5,1770,6033,2,0,0,4,7,1770,0,1987,0,98042,47.3764,-122.119,1590,6510
1377800277,"20141215T000000",696000,6,3.25,2900,6400,2,0,0,4,8,2300,600,1977,0,98199,47.6464,-122.401,2480,6400
9165100230,"20141222T000000",575000,3,2,2150,3880,1,0,0,3,8,1080,1070,1951,0,98117,47.6814,-122.392,2130,4000
3764800630,"20140825T000000",290000,3,1.5,1310,8100,1,0,0,3,7,1310,0,1965,0,98034,47.7328,-122.201,1330,8100
7853301220,"20140910T000000",425000,4,2.5,2440,5088,2,0,0,3,7,2440,0,2007,0,98065,47.5406,-121.889,2440,5762
1788700295,"20150311T000000",172000,3,1,1350,9680,1,0,0,4,7,820,530,1959,0,98023,47.3274,-122.346,1320,9225
2144800146,"20140826T000000",257500,3,2,1300,9334,1,0,0,5,7,1300,0,1981,0,98178,47.4865,-122.238,2210,9636
3271800870,"20140807T000000",1225000,4,2.25,2020,5800,1,0,3,4,9,1760,260,1941,0,98199,47.6471,-122.412,3100,5800
1336800010,"20140613T000000",1335000,5,2.25,4200,5800,2.5,0,0,4,9,2910,1290,1906,0,98112,47.6284,-122.312,3060,5800
9274201807,"20140820T000000",580000,3,2.5,1590,1937,2.5,0,0,3,8,1590,0,2004,0,98116,47.5903,-122.388,1620,2022
1774000200,"20141202T000000",4e+05,3,1.75,1920,9102,1,0,0,3,7,1920,0,1968,0,98072,47.7487,-122.082,1920,9760
